instance,p,n,configLB,configNodeSel,configOB,solved,YN,cpuTotal,nbLpSolved,cpuInitialization,cpuCplex,cpuUpdatePolyhedron,nbNodes,minDepth,maxDepth,avgDepth,nbFathomedInfeas,nbFathomedOptimality,nbFathomedDominance,cpuDominanceTest,cpuUbUpdate,cpuLbComputation,cpuComputeOb,cpuVarSel,cpuNodeSel
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,LP,breadth,fullOB,1,64,3.13353,22240,0.389655,2.53202,0.109547,1767,3,19,12.9805,870,18,88,0.0033599,0.0031095,3.09629,0.0018979,0.0096962,0.0002146
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,depth,noOB,1,64,1.73585,11059,0.0020961,1.51745,0.105122,1249,3,19,13.4608,411,95,119,0.0022586,0.002408,1.6736,0.0001789,0.0376879,0.0001189
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,depth,coneOB,1,64,1.54151,10456,0.0038155,1.34239,0.092097,1177,3,19,13.2699,533,24,32,0.0019502,0.0018232,1.4777,0.0002987,0.0352217,9.75e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,depth,fullOB,1,64,1.7586,11603,0.0020967,1.53025,0.10174,1475,3,19,12.3076,767,21,28,0.0021322,0.0019555,1.68146,0.0031524,0.0451987,0.0001465
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,breadth,noOB,1,64,1.88553,12743,0.0019467,1.65286,0.118121,1445,3,19,13.3499,488,87,148,0.0014381,0.0027562,1.81857,0.0001983,0.0401518,0.0001931
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,breadth,coneOB,1,64,1.93058,12905,0.0020279,1.68838,0.117192,1435,3,19,13.2201,629,19,70,0.0032887,0.002558,1.85614,0.0003017,0.043257,0.0002087
Kirlik14-ILP_p-3_n-10_m-5_ins-5.dat,3,10,WLP,breadth,fullOB,1,64,2.12109,14514,0.0028176,1.84749,0.126367,1765,3,19,12.9775,872,18,86,0.003506,0.0026418,2.03391,0.0018939,0.0498227,0.0002661
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,depth,noOB,1,2,0.395879,1677,0.0947322,0.269225,0.010654,181,2,14,9.04396,44,8,39,0.0001071,0.0003821,0.387129,5.84e-05,0.0010334,2.75e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,depth,coneOB,1,2,0.348368,1448,0.0777817,0.2418,0.0100084,169,2,14,8.89412,58,5,22,0.0001789,0.0003012,0.339373,4.82e-05,0.0011536,2.29e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,depth,fullOB,1,2,0.299063,1448,0.0715959,0.203083,0.0077459,169,2,14,8.89412,58,5,22,0.000119,0.0002265,0.291166,0.0002174,0.0010262,1.95e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,breadth,noOB,1,2,0.33724,1312,0.0737406,0.237908,0.0100617,127,2,12,7.54688,26,4,34,0.0001259,0.0002098,0.33014,4.84e-05,0.0008446,2.09e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,breadth,coneOB,1,2,0.326099,1245,0.0744265,0.227029,0.0091039,127,2,12,7.54688,34,3,27,0.0001166,0.0002515,0.319169,2.74e-05,0.0009107,2.37e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,LP,breadth,fullOB,1,2,0.353584,1245,0.0809281,0.245122,0.0095523,127,2,12,7.54688,34,3,27,0.0001224,0.0002368,0.344946,0.000135,0.0009367,4.21e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,depth,noOB,1,2,0.352448,1340,0.0043649,0.303881,0.0184361,181,2,14,9.04396,44,8,39,9.69e-05,0.0003807,0.339507,5.15e-05,0.0063526,2.91e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,depth,coneOB,1,2,0.24957,1162,0.002682,0.214255,0.012991,169,2,14,8.89412,58,5,22,0.0001014,0.0002458,0.238415,3.07e-05,0.0048264,2.69e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,depth,fullOB,1,2,0.292065,1159,0.00293,0.251024,0.0152975,171,2,14,8.91954,62,4,21,0.000119,0.0003528,0.278986,0.0002263,0.0057513,2.67e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,breadth,noOB,1,2,0.2831,1068,0.0030726,0.242086,0.0164098,127,2,12,7.54688,26,4,34,8.86e-05,0.0002287,0.270048,6.79e-05,0.0047289,3.86e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,breadth,coneOB,1,2,0.254853,1019,0.0030231,0.218833,0.0140745,127,2,12,7.54688,34,3,27,0.0001196,0.0001961,0.243788,3.02e-05,0.0043534,4.42e-05
Kirlik14-ILP_p-3_n-10_m-5_ins-6.dat,3,10,WLP,breadth,fullOB,1,2,0.251928,1016,0.0050674,0.214406,0.0138739,129,2,12,7.62121,38,2,26,0.0001202,0.0002011,0.240835,0.0001195,0.0040692,4.39e-05
